id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
37,365775.000099999830127,577775.000099999830127,370775.000099999830127,572775.000099999830127,368275.000099999830127,575275.000099999713711,"0","0","187","17921","0","844","0","0","6499","15","14521","0","0","0","0","13"
38,365775.000099999830127,572775.000099999830127,370775.000099999830127,567775.000099999830127,368275.000099999830127,570275.000099999713711,"0","0","309","10881","0","6659","0","0","13919","0","8193","0","0","0","0","39"
39,365775.000099999830127,567775.000099999830127,370775.000099999830127,562775.000099999830127,368275.000099999830127,565275.000099999713711,"0","0","5259","162","18","26564","0","0","4908","0","1063","0","0","0","34","1992"
40,365775.000099999830127,562775.000099999830127,370775.000099999830127,557775.000099999830127,368275.000099999830127,560275.000099999713711,"0","0","5660","18","60","24247","0","0","7524","743","1302","1","27","64","19","335"
41,365775.000099999830127,557775.000099999830127,370775.000099999830127,552775.000099999830127,368275.000099999830127,555275.000099999713711,"0","0","2533","346","0","8304","0","0","13270","4707","2176","8499","31","10","9","115"
42,365775.000099999830127,552775.000099999830127,370775.000099999830127,547775.000099999830127,368275.000099999830127,550275.000099999713711,"0","0","1487","117","0","11290","0","0","23250","1860","25","1756","9","15","0","191"
43,365775.000099999830127,547775.000099999830127,370775.000099999830127,542775.000099999830127,368275.000099999830127,545275.000099999713711,"0","0","193","38","0","1190","0","0","32790","564","442","4762","12","0","0","9"
44,365775.000099999830127,542775.000099999830127,370775.000099999830127,537775.000099999830127,368275.000099999830127,540275.000099999713711,"0","0","104","10","0","0","0","0","10184","0","754","28896","37","15","0","0"
45,365775.000099999830127,537775.000099999830127,370775.000099999830127,532775.000099999830127,368275.000099999830127,535275.000099999713711,"0","0","0","0","0","0","0","0","6079","0","15","33906","0","0","0","0"
46,370775.000099999830127,607775.000099999830127,375775.000099999830127,602775.000099999830127,373275.000099999830127,605275.000099999713711,"0","2","334","10679","0","1306","0","0","24578","181","0","1302","0","1590","0","28"
47,370775.000099999830127,602775.000099999830127,375775.000099999830127,597775.000099999830127,373275.000099999830127,600275.000099999713711,"0","0","0","26285","0","0","0","0","1557","171","26","11961","0","0","0","0"
48,370775.000099999830127,597775.000099999830127,375775.000099999830127,592775.000099999830127,373275.000099999830127,595275.000099999713711,"0","0","0","8594","0","375","0","0","1259","79","10515","19178","0","0","0","0"
49,370775.000099999830127,592775.000099999830127,375775.000099999830127,587775.000099999830127,373275.000099999830127,590275.000099999713711,"0","0","934","36837","0","891","0","15","254","0","991","0","0","19","0","59"
50,370775.000099999830127,587775.000099999830127,375775.000099999830127,582775.000099999830127,373275.000099999830127,585275.000099999713711,"0","0","4874","19100","0","9077","0","0","1805","0","4810","0","0","17","0","317"
51,370775.000099999830127,582775.000099999830127,375775.000099999830127,577775.000099999830127,373275.000099999830127,580275.000099999713711,"0","0","210","37921","0","92","0","0","1171","0","580","0","0","26","0","0"
52,370775.000099999830127,577775.000099999830127,375775.000099999830127,572775.000099999830127,373275.000099999830127,575275.000099999713711,"0","0","184","30542","0","1006","0","0","1122","0","7076","56","0","0","0","14"
53,370775.000099999830127,572775.000099999830127,375775.000099999830127,567775.000099999830127,373275.000099999830127,570275.000099999713711,"0","0","214","16266","0","10762","0","0","1144","0","11529","0","0","0","0","85"
